Product_name,Product_url,brand,Sale_price,MRP,Discount_percentage,Number_of_ratings,Number_of_reviews,Type_of_washing
MarQ By Flipkart 6 kg 5 Star Fully Automatic Front Load with In-built Heater Silver, https://www.flipkart.com/marq-flipkart-6-kg-5-star-fully-automatic-front-load-in-built-heater-silver/p/itmd7d6488ed7c5b?pid=WMNFN284XPYVHFTF,MarQ,16490,24499,32,4429,642,Fully Automatic Front Load
SAMSUNG 6.5 kg 5 Star Inverter Fully Automatic Top Load Grey, https://www.flipkart.com/samsung-6-5-kg-5-star-inverter-fully-automatic-top-load-grey/p/itm5814d96c6faa5?pid=WMNFPVW74ZSHUT5F,SAMSUNG,16590,21500,22,1265,145,Fully Automatic Top Load
"IFB 6 kg Fully Automatic Front Load with In-built Heater Black, White", https://www.flipkart.com/ifb-6-kg-fully-automatic-front-load-in-built-heater-black-white/p/itmb3e0cde5e5b71?pid=WMNFZWDHZY4SZWQH,IFB,22490,26290,14,14513,1700,Fully Automatic Front Load
SAMSUNG 6.2 kg with Monsoon Feature Fully Automatic Top Load Grey, https://www.flipkart.com/samsung-6-2-kg-monsoon-feature-fully-automatic-top-load-grey/p/itmewa2xkfkeq9cz?pid=WMNEWA2XKFSHQZZG,SAMSUNG,13290,15100,11,69675,7028,Fully Automatic Top Load
"Sansui 7 kg 5 Star Rating Semi Automatic Top Load Red, White", https://www.flipkart.com/sansui-7-kg-5-star-rating-semi-automatic-top-load-red-white/p/itm2c77b5d8e07da?pid=WMNFWRBG4XUCVXFP,Sansui,7790,12490,37,1841,215,Semi Automatic Top Load
Panasonic 6 kg 5 Star AquaBeat Wash Fully Automatic Top Load Grey, https://www.flipkart.com/panasonic-6-kg-5-star-aquabeat-wash-fully-automatic-top-load-grey/p/itm909929dc404cc?pid=WMNFSNKN2K2ZAAYH,Panasonic,12990,16700,22,5527,901,Fully Automatic Top Load
MarQ By Flipkart 7 kg 5 star Fully Automatic Front Load with In-built Heater Silver, https://www.flipkart.com/marq-flipkart-7-kg-5-star-fully-automatic-front-load-in-built-heater-silver/p/itm30d38c77f29d2?pid=WMNFN284ZRKFETE9,MarQ,18990,33999,44,4342,622,Fully Automatic Front Load
Whirlpool 7 kg Fully Automatic Top Load Grey, https://www.flipkart.com/whirlpool-7-kg-fully-automatic-top-load-grey/p/itmda9428f9a44c8?pid=WMNFYGG2CZMZXG7S,Whirlpool,14490,18950,23,767,65,Fully Automatic Top Load
"Whirlpool 7 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey", https://www.flipkart.com/whirlpool-7-kg-5-star-hard-water-wash-fully-automatic-top-load-grey/p/itmf6m22uc3dsgmr?pid=WMNF6M22GFW4UXCF,Whirlpool,15990,19270,17,9601,1007,Fully Automatic Top Load
"Whirlpool 7 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey", https://www.flipkart.com/whirlpool-7-kg-5-star-hard-water-wash-fully-automatic-top-load-grey/p/itm3467d9d1dad5f?pid=WMNFNAYPAYSZGKXV,Whirlpool,15240,18000,15,5707,563,Fully Automatic Top Load
IFB 6.5 kg Fully Automatic Top Load Grey, https://www.flipkart.com/ifb-6-5-kg-fully-automatic-top-load-grey/p/itm53451c0d9063f?pid=WMNFVFQF3PEHNXZS,IFB,16990,19990,15,21857,2829,Fully Automatic Top Load
"Thomson 7.5 kg 5 Star, Germ Purifier Technology Fully Automatic Top Load Grey, Silver", https://www.flipkart.com/thomson-7-5-kg-5-star-germ-purifier-technology-fully-automatic-top-load-grey-silver/p/itm48654e7ad49c9?pid=WMNFUQZVN9FBDZZE,Thomson,12990,21990,40,944,361,Fully Automatic Top Load
BOSCH 6 kg 5 Star INVERTER TOUCH CONTROL Fully Automatic Front Load White, https://www.flipkart.com/bosch-6-kg-5-star-inverter-touch-control-fully-automatic-front-load-white/p/itm185b8938559d0?pid=WMNFY9NJU5ZJGRUK,BOSCH,22990,30299,24,6379,732,Fully Automatic Front Load
"Iffalcon 8 kg Energy Efficient, Auto Error Diagnosis Fully Automatic Front Load with In-built Heater W...", https://www.flipkart.com/iffalcon-8-kg-energy-efficient-auto-error-diagnosis-fully-automatic-front-load-in-built-heater-white/p/itm3d0202a38fce3?pid=WMNFV7VVCZTAKFAN,Iffalcon,19990,36990,45,141,51,Fully Automatic Front Load
SAMSUNG 7 kg Monsoon drying feature Fully Automatic Top Load Silver, https://www.flipkart.com/samsung-7-kg-monsoon-drying-feature-fully-automatic-top-load-silver/p/itm45d6cd26e5975?pid=WMNFV6ZYYAEZX6HM,SAMSUNG,16790,19800,15,69641,7023,Fully Automatic Top Load
Godrej 6.2 kg Fully Automatic Top Load Grey, https://www.flipkart.com/godrej-6-2-kg-fully-automatic-top-load-grey/p/itmfffyhxvr4tgzn?pid=WMNFFFYHEZ86UBGZ,Godrej,12290,17900,31,2702,238,Fully Automatic Top Load
"Whirlpool 9.5 kg 5 Star, Inbuilt Heater Fully Automatic Top Load with In-built Heater Grey", https://www.flipkart.com/whirlpool-9-5-kg-5-star-inbuilt-heater-fully-automatic-top-load-in-built-grey/p/itm06523a4f643e2?pid=WMNFBRVY4VTCXT66,Whirlpool,26990,32800,17,842,102,Fully Automatic Top Load
SAMSUNG 6.2 kg with Monsoon Feature Fully Automatic Top Load Grey, https://www.flipkart.com/samsung-6-2-kg-monsoon-feature-fully-automatic-top-load-grey/p/itmewa2xkfkeq9cz?pid=WMNEWA2XKFSHQZZG,SAMSUNG,13290,15100,11,69641,7023,Fully Automatic Top Load
SAMSUNG 6.5 kg 5 star Inverter Fully Automatic Front Load with In-built Heater White, https://www.flipkart.com/samsung-6-5-kg-5-star-inverter-fully-automatic-front-load-in-built-heater-white/p/itmecdb09248daf4?pid=WMNFP6FWETGZVKRV,SAMSUNG,25990,30900,15,6994,878,Fully Automatic Front Load
MarQ By Flipkart 10.2/7 kg with Inverter Technology Washer with Dryer with In-built Heater Silver, https://www.flipkart.com/marq-flipkart-10-2-7-kg-inverter-technology-washer-dryer-in-built-heater-silver/p/itmfdpwfrsegj83c?pid=WMNFDPWFUHXYFYCM,MarQ,27990,54999,49,326,65,Washer with Dryer | 2000 W
"Whirlpool 6.5 kg 5 Star, Inbuilt Heater Fully Automatic Top Load with In-built Heater Grey", https://www.flipkart.com/whirlpool-6-5-kg-5-star-inbuilt-heater-fully-automatic-top-load-in-built-grey/p/itm303f050a51b4a?pid=WMNE8TAWETFYVGEE,Whirlpool,16990,21350,20,2905,368,Fully Automatic Top Load
"Panasonic 6.5 kg 5 star Semi Automatic Top Load White, Blue", https://www.flipkart.com/panasonic-6-5-kg-5-star-semi-automatic-top-load-white-blue/p/itm58d9c33df776c?pid=WMNFRZ46ERAXSUVD,Panasonic,8390,11000,23,10037,1584,Semi Automatic Top Load
MarQ By Flipkart 6 kg Fully Automatic Top Load Grey, https://www.flipkart.com/marq-flipkart-6-kg-fully-automatic-top-load-grey/p/itm52df034fc2d0a?pid=WMNFMKM3S6QZWAHS,MarQ,10490,14999,30,16909,2341,Fully Automatic Top Load
"Whirlpool 7.5 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey", https://www.flipkart.com/whirlpool-7-5-kg-5-star-hard-water-wash-fully-automatic-top-load-grey/p/itmb49b34c9eb10d?pid=WMNFNAYP4RHJX5GN,Whirlpool,15990,18000,11,5700,562,Fully Automatic Top Load
"MarQ By Flipkart 7.5 kg 5 Star Rating Semi Automatic Top Load White, Maroon", https://www.flipkart.com/marq-flipkart-7-5-kg-5-star-rating-semi-automatic-top-load-white-maroon/p/itmdce3580999e5b?pid=WMNFMKPKJGMRZGZG,MarQ,8490,11450,25,5679,693,Semi Automatic Top Load
"MarQ By Flipkart 9 kg 5 Star Semi Automatic Top Load White, Grey", https://www.flipkart.com/marq-flipkart-9-kg-5-star-semi-automatic-top-load-white-grey/p/itmdfa167dbe980e?pid=WMNFQF6K8NTXYGAS,MarQ,9690,14499,33,5465,719,Semi Automatic Top Load
