Product_name,Product_url,brand,Sale_price,MRP,Discount_percentage,Number_of_ratings,Number_of_reviews,Type_of_washing
Panasonic 7 kg 5 Star AquaBeat Wash Fully Automatic Top Load Grey, https://www.flipkart.com/panasonic-7-kg-5-star-aquabeat-wash-fully-automatic-top-load-grey/p/itmaecfcdca9e29d?pid=WMNFTYC85WXTJNGH,Panasonic,"15,290","20,500",25,"5,503",898,Fully Automatic Top Load
Midea 8 kg Garment Sterilization Fully Automatic Front Load with In-built Heater Silver, https://www.flipkart.com/midea-8-kg-garment-sterilization-fully-automatic-front-load-in-built-heater-silver/p/itmffg7rwjhkrbzb?pid=WMNFFG7RHSGVNUGX,Midea,"23,990","27,590",13,"15,560","2,900",Fully Automatic Front Load
"Whirlpool 6.5 kg 5 Star, Inbuilt Heater Fully Automatic Top Load with In-built Heater Grey", https://www.flipkart.com/whirlpool-6-5-kg-5-star-inbuilt-heater-fully-automatic-top-load-in-built-grey/p/itm303f050a51b4a?pid=WMNE8TAWETFYVGEE,Whirlpool,"17,490","21,350",18,"2,902",368,Fully Automatic Top Load
"ONIDA 9 kg Washer only White, Maroon", https://www.flipkart.com/onida-9-kg-washer-only-white-maroon/p/itmfga8j63cagyh9?pid=WMNEW5ZTZGDP7GJN,ONIDA,"6,250","7,050",11,"12,977","1,771",Washer only | 460 W
"LG 11 kg 5 Star Rating Semi Automatic Top Load Maroon, White", https://www.flipkart.com/lg-11-kg-5-star-rating-semi-automatic-top-load-maroon-white/p/itm230d2d544a4dc?pid=WMNFJKR9RQ7QBKGY,LG,"16,990","19,490",12,818,102,Semi Automatic Top Load
MOTOROLA 8 kg 5 Star Hygiene Wash Fully Automatic Top Load with In-built Heater Grey, https://www.flipkart.com/motorola-8-kg-5-star-hygiene-wash-fully-automatic-top-load-in-built-heater-grey/p/itmbd1a7719bc298?pid=WMNFT2YNQMPHRNSQ,MOTOROLA,"17,490","26,999",35,"1,364",252,Fully Automatic Top Load
"Sansui 6 kg Steam Wash Fully Automatic Front Load with In-built Heater Silver, Grey", https://www.flipkart.com/sansui-6-kg-steam-wash-fully-automatic-front-load-in-built-heater-silver-grey/p/itm93f9e507f34f3?pid=WMNFKZZG5MDYTJAZ,Sansui,"18,990","24,990",24,"1,271",207,Fully Automatic Front Load
MarQ By Flipkart 7.2 kg with Twin Shower Technology Fully Automatic Top Load Grey, https://www.flipkart.com/marq-flipkart-7-2-kg-twin-shower-technology-fully-automatic-top-load-grey/p/itmfbh4hg5shwqbe?pid=WMNFBH4HRGT3HYX6,MarQ,"13,990","16,999",17,"16,878","2,337",Fully Automatic Top Load
IFB 6.5 kg 5 Star Fully Automatic Top Load with In-built Heater White, https://www.flipkart.com/ifb-6-5-kg-5-star-fully-automatic-top-load-in-built-heater-white/p/itm7279080f52807?pid=WMNFUGBFJGZGQZJR,IFB,"18,990","20,790",8,288,19,Fully Automatic Top Load
"LG 7.5 kg 5 Star Rating Semi Automatic Top Load Blue, White", https://www.flipkart.com/lg-7-5-kg-5-star-rating-semi-automatic-top-load-blue-white/p/itm74dd7b6b78a2d?pid=WMNFJKR8JDMTYA8R,LG,"12,790","15,490",17,"1,439",150,Semi Automatic Top Load
"LG 10 kg 5 Star Rating Semi Automatic Top Load Grey, White", https://www.flipkart.com/lg-10-kg-5-star-rating-semi-automatic-top-load-grey-white/p/itm4d30a171f1b21?pid=WMNFJKR8YEZ9XEWZ,LG,"15,990","18,490",13,"1,436",138,Semi Automatic Top Load
LG 8 kg 5 Star Rating Semi Automatic Top Load Red, https://www.flipkart.com/lg-8-kg-5-star-rating-semi-automatic-top-load-red/p/itm4666321d4fc44?pid=WMNFKPT2CPQ5GUEP,LG,"13,990","17,190",18,862,92,Semi Automatic Top Load
"LG 6 kg With Collar Scrubber Semi Automatic Top Load Black, White", https://www.flipkart.com/lg-6-kg-collar-scrubber-semi-automatic-top-load-black-white/p/itm7b7fe9671dda7?pid=WMNFM3RFZEHRPQGK,LG,"9,281","11,290",17,"1,732",134,Semi Automatic Top Load
"Whirlpool 8.5 kg 5 Star, Power Dry Technology Semi Automatic Top Load Grey, Purple", https://www.flipkart.com/whirlpool-8-5-kg-5-star-power-dry-technology-semi-automatic-top-load-grey-purple/p/itm479a8c0f8335f?pid=WMNFZYS39XVPUSNZ,Whirlpool,"13,990","16,000",12,"3,164",346,Semi Automatic Top Load
SAMSUNG 7.5 kg Monsoon drying feature Fully Automatic Top Load Silver, https://www.flipkart.com/samsung-7-5-kg-monsoon-drying-feature-fully-automatic-top-load-silver/p/itm4fd73cbd64123?pid=WMNFV6ZYK4JYFZ6F,SAMSUNG,"19,490","23,100",15,"69,511","7,014",Fully Automatic Top Load
"MarQ By Flipkart 7.5 kg 5 Star Rating Semi Automatic Top Load White, Maroon", https://www.flipkart.com/marq-flipkart-7-5-kg-5-star-rating-semi-automatic-top-load-white-maroon/p/itmdce3580999e5b?pid=WMNFMKPKJGMRZGZG,MarQ,"8,990","11,450",21,"5,669",690,Semi Automatic Top Load
SAMSUNG 6.5 kg 5 star Inverter Fully Automatic Front Load with In-built Heater White, https://www.flipkart.com/samsung-6-5-kg-5-star-inverter-fully-automatic-front-load-in-built-heater-white/p/itmecdb09248daf4?pid=WMNFP6FWETGZVKRV,SAMSUNG,"25,990","30,900",15,"6,965",875,Fully Automatic Front Load
Whirlpool 6.5 kg Semi Automatic Top Load Grey, https://www.flipkart.com/whirlpool-6-5-kg-semi-automatic-top-load-grey/p/itmcc30cd568e522?pid=WMNFZKEHNV5R8PBH,Whirlpool,"8,790","11,550",23,6,0,Semi Automatic Top Load
LG 6.5 kg 5 Star Fully Automatic Front Load with In-built Heater Silver, https://www.flipkart.com/lg-6-5-kg-5-star-fully-automatic-front-load-in-built-heater-silver/p/itm6aa365710024f?pid=WMNFTPBYEEFH2FNV,LG,"26,990","31,990",15,"7,220",799,Fully Automatic Front Load
IFB 6.5 kg 5 Star Fully Automatic Front Load with In-built Heater Silver, https://www.flipkart.com/ifb-6-5-kg-5-star-fully-automatic-front-load-in-built-heater-silver/p/itmfgu8vzfqebhvf?pid=WMNFGU8VPXNRCU6H,IFB,"30,290","34,490",12,"1,144",136,Fully Automatic Front Load
